eta,paso,particula_id,x,y,theta
1.692105,800,77,11.084425,0.567988,1.524063
1.692105,800,78,18.688451,14.123001,0.165722
1.692105,800,79,9.206367,13.936097,0.352326
1.692105,800,80,3.887176,12.288567,1.650844
1.692105,800,81,4.850422,17.530872,0.606868
1.692105,800,82,9.793539,7.181876,1.084065
1.692105,800,83,15.078023,9.020124,1.676128
1.692105,800,84,3.107852,13.308296,1.491163
1.692105,800,85,4.482478,14.676372,0.747116
1.692105,800,86,0.377455,12.588116,0.326084
1.692105,800,87,11.988947,17.261845,1.441233
1.692105,800,88,5.130958,11.117212,1.220908
1.692105,800,89,2.349528,1.383868,1.731944
1.692105,800,90,12.993658,19.274063,1.524078
1.692105,800,91,17.158555,12.896857,1.594321
1.692105,800,92,19.482625,11.507112,1.750432
1.692105,800,93,6.884963,2.195162,1.024619
1.692105,800,94,14.958268,2.973361,1.184762
1.692105,800,95,15.032487,15.610889,1.095188
1.692105,800,96,8.20717,10.402657,1.578488
1.692105,800,97,15.78834,6.238979,1.039982
1.692105,800,98,11.042362,6.999486,0.306297
1.692105,800,99,16.147541,0.131281,0.68818
1.692105,800,100,4.422527,14.459354,1.599821
1.692105,800,101,10.115782,17.731312,1.319554
1.692105,800,102,4.866322,13.969101,0.163333
1.692105,800,103,3.53817,18.805176,1.564377
1.692105,800,104,4.635044,13.49731,1.390409
1.692105,800,105,17.335938,4.825826,1.586097
1.692105,800,106,12.455535,18.915291,0.232764
1.692105,800,107,6.212133,9.385304,1.114661
1.692105,800,108,15.842408,0.231823,1.387055
1.692105,800,109,17.690327,15.304072,0.074604
1.692105,800,110,4.280683,14.884011,0.708401
1.692105,800,111,9.598828,1.462092,0.935533
1.692105,800,112,3.735074,1.422437,1.049285
1.692105,800,113,17.949368,3.765868,0.545649
1.692105,800,114,7.445258,7.619219,0.62763
1.692105,800,115,7.142595,16.148931,1.370835
1.692105,800,116,3.60544,12.221864,0.820891
1.692105,800,117,1.336197,10.535776,1.177304
1.692105,800,118,0.640286,9.419014,0.273063
1.692105,800,119,15.574312,7.188027,0.486038
